Query	search_rank	reader_doc_name	reader_text	reader_score	id	doc_name	searching_text
пояснение в полицию, что данный сотрудник у нас не работал	20	Можно ли направить запрос в  полицию  о поиске пропавшего  сотрудника 	Можно ли направить запрос в полицию о поиске пропавшего сотрудника Если сотрудник будет отсутствовать продолжительное время, а разыскные мероприятия правоохранительных органов не принесут результата, то ... отсутствующим либо умершим. Гражданин признается безвестно отсутствующим, если в течение года в его местожительстве нет ...	0.6861885190010071	1	Как  пояснить  разрывы и  ошибки  в декларации по НДС	Как пояснить разрывы и ошибки в декларации по НДС ...подайте уточненную декларацию . Заявить вычет НДС по такому счету-фактуре нельзя . Контрагент без госрегистрации не ... правами хозяйствующего субъекта, счет-фактура не имеет юридической силы. Если в разделе 8 декларации по НДС...
пояснение в полицию, что данный сотрудник у нас не работал	24	Какие права у организации во время проверки ИФНС и  полиции 	Какие права у организации во время проверки ИФНС и полиции Что касается сотрудников полиции , то они руководствуются законами от 07.02.2011 № 3-ФЗ и от 12.08.1995 ... из этих мероприятий сотрудники полиции вправе проводить только на основании предварительной судебной санкции. Например, без ...	0.6672189235687256	2	Как вести учет  рабочего  времени	Как вести учет рабочего времени Отсутствие больничного листка на день болезни сотрудника означает, что работник не имеет права на больничное ... за этот день. В табеле учета рабочего времени этот день можно отметить буквенным кодом «Т»...
пояснение в полицию, что данный сотрудник у нас не работал	8	Распространяется ли Трудовой кодекс на  работников   полиции 	Распространяется ли Трудовой кодекс на работников полиции Порядок прохождения службы сотрудников МВД регламентирован законом ( постановление Верховного Совета от 23.12.1992 № 4202-1 ... этого постановления могут содержать особый порядок некоторых аспектов трудовых отношений. Кроме того, закон о полиции ...	0.6628684997558594	3	Как действовать при вызове в налоговую инспекцию	Как действовать при вызове в налоговую инспекцию Но при явке в инспекцию представитель налогоплательщика вправе сам решить, каким способом будет давать пояснения . Пояснения можно предоставить устно или в письменном виде. НК это не запрещено . Письменные пояснения можно...
ГТД по импорту в 1с 8.3 бухгалтерия	4	Как составить и сдать декларацию по НДС при  ввозе   товаров  из стран ЕАЭС	Как составить и сдать декларацию по НДС при ввозе товаров из стран ЕАЭС Помимо новых штрихкодов на листах, ФНС в том числе добавила в раздел 1 декларации строку ... разделом 1.1 . Новая строка и раздел предназначены для резидентов СЭЗ , которые импортируют товары ...	0.7062402367591858	1	Как оприходовать  импортные   товары 	Как оприходовать импортные товары Импортные товары примите к учету по фактической себестоимости. Она включает в себя следующие затраты:
ГТД по импорту в 1с 8.3 бухгалтерия	22	Как платить НДС при  импорте  из стран ЕАЭС	Как платить НДС при импорте из стран ЕАЭС В декларации и заявлении о ввозе за ноябрь бухгалтер отразил часть стоимости услуг по переработке, которая относится к поступившей исправленной продукции ( п. 23 приложения 18 к Договору о ЕАЭС...	0.6922593712806702	2	Как составить и сдать заявление о  ввозе   товаров  из стран ЕАЭС	Как составить и сдать заявление о ввозе товаров из стран ЕАЭС ...для целей уплаты НДС определяйте на основе стоимости приобретенных товаров на дату, когда приняли ввезенные ... расчета стоимости при безвозмездном получении товаров. Определять базу можно, в частности, исходя из стоимости, по ...
ГТД по импорту в 1с 8.3 бухгалтерия	7	Как отразить в бухучете  импорт   товаров  из стран, не входящих в ЕАЭС, через посредника. Учет у заказчика	Как отразить в бухучете импорт товаров из стран, не входящих в ЕАЭС, через посредника. Учет у заказчика Операции по импорту тканей через посредника бухгалтер «Альфы» отразил следующими проводками.	0.6808450222015381	3	Как отразить в бухучете  импорт   товаров  из стран, не входящих в ЕАЭС	Как отразить в бухучете импорт товаров из стран, не входящих в ЕАЭС Организация может принять к вычету весь НДС, уплаченный на таможне при импорте товара . В том числе по пробам и образцам, которые были использованы при экспертизе. Скорее всего, такую позицию придется...
соглашение передача прав и обязанностей по договору	11	Создает ли  договор   права  и  обязанности  для лица, которое его не подписывало	Создает ли договор права и обязанности для лица, которое его не подписывало Если лицо не подписывало договор, по общему правилу он не создает для него прав и обязанностей . Однако если своими действиями лицо выразило согласие с предложением контрагента заключить, изменить или расторгнуть...	0.8407184481620789	1	Должен ли прежний арендатор начислить НДС на стоимость неотделимых улучшений, которые новый арендатор компенсировал по  соглашению  о перенайме	Должен ли прежний арендатор начислить НДС на стоимость неотделимых улучшений, которые новый арендатор компенсировал по соглашению о перенайме Арендатор вправе с согласия арендодателя передавать свои права и обязанности по договору аренды другому лицу, оформив перенаем. В ходе такой передачи происходит перемена лица в арендном обязательстве: первоначальный арендатор уступает...
соглашение передача прав и обязанностей по договору	20	Как  передать   право  подписи трудовых  договоров 	Как передать право подписи трудовых договоров Чтобы передать право подписи, нужно оформить доверенность.	0.8346734642982483	2	Риски при подписании  договора . Как обезопасить компанию и себя от ошибок	Риски при подписании договора . Как обезопасить компанию и себя от ошибок Чтобы исполняющий обязанности директора или другой сотрудник мог подписывать договоры от имени организации, одного приказа ... Нужна простая письменная доверенность. Приказ – это внутренний документ компании. Он закрепляет передачу полномочий на...
соглашение передача прав и обязанностей по договору	14	Как цессионарию оформить и учесть приобретение  права  требования  по договору  цессии	Как цессионарию оформить и учесть приобретение права требования по договору цессии Если цессионарий не оплатил право требования долга, это основание для расторжения договора (п. 1 , 2 ст. 450 ГК). В рассматриваемой ситуации цедент и цессионарий вправе подписать соглашение о расторжении...	0.8154239058494568	3	Какие  права  и  обязанности  есть у налогоплательщиков	Какие права и обязанности есть у налогоплательщиков заключила со спецоператором договор на оказание услуг по ведению электронного документооборота (о передаче прав на использование соответствующего программного обеспечения);
пункт 13 Правил обучения по охране труда	12	Как организовать и вести учет  по охране   труда 	Как организовать и вести учет по охране труда обучение требования охране труда по трем программам;	0.8350719213485718	1	Перечень локальных документов  по охране   труда 	Перечень локальных документов по охране труда Пункт 13 Правил обучения по охране труда и проверки знания требований охраны труда, утв. постановлением Правительства РФ от 24.12.2021 № 2464
пункт 13 Правил обучения по охране труда	4	Как создать службу  охраны   труда  	Как создать службу охраны труда Все сотрудники, принимаемые в состав службы, должны пройти обучение по охране труда . Это следует из части 4 статьи 223 Трудового кодекса , пункта 15 Рекомендаций . Квалификационные требования к образованию...	0.8149484395980835	2	Как провести инструктажи и  обучение   по охране   труда 	Как провести инструктажи и обучение по охране труда Минимальное количество работников для обучения требованиям охраны труда определите по таблице в приложении № 4 к Правилам , утвержденным постановлением Правительства от 24.12.2021 № 2464 . В этой таблице отражена зависимость...
пункт 13 Правил обучения по охране труда	13	Справочник приказов  по охране   труда 	Справочник приказов по охране труда Направление работников на обучение по охране труда с отрывом от производства	0.8030416369438171	3	 Обучение   охране   труда 	 Обучение охране труда Минимальное количество работников для обучения требованиям охраны труда определите по таблице в приложении № 4 к Правилам , утвержденным постановлением Правительства от 24.12.2021 № 2464 . В этой таблице отражена зависимость...
ответственность за не предоставление бухгалтерского баланса за 2021 год	17	Кто, куда и когда обязан представить  бухгалтерскую  отчетность	Кто, куда и когда обязан представить бухгалтерскую отчетность Минфина от 23.05.2013 № 03-02-07/2/18285 ). Например, в составе бухгалтерской отчетности за 2021 год ... должна сдать следующие формы: Бухгалтерский баланс , Отчет о финансовых результатах, Отчет об изменениях капитала, Отчет...	0.821569561958313	1	Как составить  бухгалтерский   баланс 	Как составить бухгалтерский баланс Правила составления баланса не изменились, за исключением отражения основных средств, запасов и аренды по новым ФСБУ. Подробнее об этом читайте в другой рекомендации. О том, как составить и заполнить баланс , а также как его уточнить– в этой рекомендации. Числовые примеры, которые приведены в этом материале актуальны для отчетности за 2021 год , а также за последующие отчетные периоды
ответственность за не предоставление бухгалтерского баланса за 2021 год	3	Как заполнить в  бухгалтерском   балансе  активы и обязательства	Как заполнить в бухгалтерском балансе активы и обязательства В декабре 2021 года выяснилось, что ООО «Альфа» должно вернуть ранее полученные бюджетные средства в ... отраженному в учетной политике организации, данный показатель является существенным. В балансе за 2021 год бухгалтер ...	0.799735426902771	2	Как составить пояснения к  бухгалтерскому   балансу  и отчету о финансовых результатах	Как составить пояснения к бухгалтерскому балансу и отчету о финансовых результатах Ответ. Не раскрывать часть сведений можно только в пояснениях к бухгалтерскому балансу и отчету о ... средств, отчете об изменениях капитала, отчете о целевом использовании средств все показатели должны быть представлены ...
ответственность за не предоставление бухгалтерского баланса за 2021 год	18	Как исправить ошибки в бухучете и  бухгалтерской  отчетности	Как исправить ошибки в бухучете и бухгалтерской отчетности ...ретроспективного пересчета сравнительных показателей бухгалтерской отчетности. Таким образом, в бухгалтерском балансе за отчетный 2023 год ... 000 руб. На 31 декабря 2022 года и 2023 года финансовые вложения с баланса не ...	0.7512444257736206	3	Как заполнить в  бухгалтерском   балансе  активы и обязательства	Как заполнить в бухгалтерском балансе активы и обязательства В декабре 2021 года выяснилось, что ООО «Альфа» должно вернуть ранее полученные бюджетные средства в ... отраженному в учетной политике организации, данный показатель является существенным. В балансе за 2021 год бухгалтер ...
какие документы при смене директора к нотариусу	3	Нужно ли  нотариально  удостоверять решение о  смене   директора 	Нужно ли нотариально удостоверять решение о смене директора Когда решение об избрании директора принимают участники, его нужно удостоверить у нотариуса . Устав ООО может предусматривать возможность удостоверять решения другим способом.	0.7981526851654053	1	Как  сменить   генерального   директора : уволить предыдущего и назначить нового	Как сменить генерального директора : уволить предыдущего и назначить нового Смотрите видеоинструкцию, как заполнить заявление по форме № Р13014 о внесении изменений в ЕГРЮЛ при смене генерального директора .
какие документы при смене директора к нотариусу	22	Какие  документы  и дела должен передать старый генеральный  директор  ООО новому  директору 	Какие документы и дела должен передать старый генеральный директор ООО новому директору Предыдущий директор при увольнении должен передать новому директору документы и печати общества. Обязанность по передаче документов закрепляет пункт 4 статьи 29 Федерального закона от 06.12.2011 № 402-ФЗ О бухгалтерском учете.	0.7972314357757568	2	Какие  документы  приложить к заявлению о  смене   директора 	Какие документы приложить к заявлению о смене директора Закон не требует прикладывать к заявлению о смене директора дополнительные документы . Исключение: нотариальная доверенность или ее нотариальная копия, если документы подает представитель заявителя в налоговую или МФЦ ( абз. 2...
какие документы при смене директора к нотариусу	2	Какие  документы  приложить к заявлению о  смене   директора 	Какие документы приложить к заявлению о смене директора Закон не требует прикладывать к заявлению о смене директора дополнительные документы . Исключение: нотариальная доверенность или ее нотариальная копия, если документы подает представитель заявителя в налоговую или МФЦ ( абз. 2...	0.7932382822036743	3	Нужно ли  нотариально  удостоверять решение о  смене   директора 	Нужно ли нотариально удостоверять решение о смене директора Когда решение об избрании директора принимают участники, его нужно удостоверить у нотариуса . Устав ООО может предусматривать возможность удостоверять решения другим способом.
индивидуальный график с плавающими выходными на 2024 го	15	НДФЛ в  2024  году	НДФЛ в 2024 году Сроки для отчетности вы найдете в таблице ниже. Если крайний срок выпадает на выходной или нерабочий праздничный день , сдать отчет надо не позже следующего рабочего дня.	0.6658284664154053	1	Умный  график  отпусков –  2024 	Умный график отпусков – 2024 В первую очередь на вкладке «ближайшие отпуска» впишите даты дополнительных региональных нерабочих праздничных дней , если они приняты в вашем регионе. Сведения вносите в свободные ячейки. Федеральные нерабочие праздничные дни график ...
индивидуальный график с плавающими выходными на 2024 го	1	Умный  график  отпусков –  2024 	Умный график отпусков – 2024 В первую очередь на вкладке «ближайшие отпуска» впишите даты дополнительных региональных нерабочих праздничных дней , если они приняты в вашем регионе. Сведения вносите в свободные ячейки. Федеральные нерабочие праздничные дни график ...	0.643782913684845	2	Можно ли предоставить отпуск с  нерабочего   дня :  праздничного  или  выходного 	Можно ли предоставить отпуск с нерабочего дня : праздничного или выходного ТК никаких запретов на данный случай не устанавливает. Поэтому отпуск сотрудника может начаться в любой день , который определен графиком отпусков, в том числе и в нерабочий : праздничный или выходной день...
индивидуальный график с плавающими выходными на 2024 го	18	Производственный календарь Республики Бурятия при пятидневной рабочей неделе на  2024  год	Производственный календарь Республики Бурятия при пятидневной рабочей неделе на 2024 год Накануне нерабочих праздничных дней рабочее время нужно сокращать на 1 час. В 2024 году работники в Республике Бурятия будут работать на 1 час меньше 9 и 22 февраля, 7 марта,...	0.6157123446464539	3	Как организовать работу накануне  нерабочего   праздничного   дня 	Как организовать работу накануне нерабочего праздничного дня Нерабочие праздничные дни , которые действуют на территории России, перечислены в части 1 статьи 112 Трудового кодекса. По общему правилу продолжительность рабочего дня (смены), непосредственно предшествующего нерабочему праздничному дню, уменьшается на...
отец ребенка может получить пособие по уходу за ребенком	24	Как  получить   пособие  при рождении  ребенка 	Как получить пособие при рождении ребенка Если передан на воспитание ребенок старше шести месяцев , усыновитель (опекун, приемный родитель) может претендовать только на пособие при передаче ребенка на воспитание в семью. Такие правила следуют из положений статей...	0.8186327219009399	1	Кому положено  пособие по   уходу за   ребенком   до   1,5   лет 	Кому положено пособие по уходу за ребенком до 1,5 лет Пособие по уходу за ребенком сотрудники получают до достижения ребенком возраста 1,5 лет . Пособие платит СФР напрямую сотруднику. В рекомендации – получают ли пособие совместители, приемные родители и опекуны, как оформлять пособие во время декрета, при увольнении.
отец ребенка может получить пособие по уходу за ребенком	8	Можно ли оплачивать больничный  отцу , если  ребенок  заболел, когда мать в отпуске по  уходу  за  ребенком  лечилась в стационаре	Можно ли оплачивать больничный отцу , если ребенок заболел, когда мать в отпуске по уходу за ребенком лечилась в стационаре Мать ребенка обязана прервать свой отпуск по уходу за малышом, если отец ребенка хочет получить ... пособие . Женщина также может получить пособие по своей болезни. Кроме того, если мать прервет свой...	0.8139249682426453	2	Как работодателю оформить  пособие по   уходу за   ребенком   до   1,5   лет 	Как работодателю оформить пособие по уходу за ребенком до 1,5 лет Сумма пособия по уходу за ребенком до 1,5 лет составляет 40 процентов среднего заработка за календарный месяц : 38 994,38 руб. × 40% = 15 597,75 руб.
отец ребенка может получить пособие по уходу за ребенком	16	Кому положены отпуск и  пособие по   уходу за   ребенком   до   1,5   лет , если мать на больничном	Кому положены отпуск и пособие по уходу за ребенком до 1,5 лет , если мать на больничном Если мать ребенка , получающая ежемесячное пособие по уходу за ребенком, не может ухаживать за ребенком в связи с болезнью, оформить отпуск и получать пособие может другой член семьи, фактически ухаживающий...	0.8047423362731934	3	Как  получить   пособие по   уходу за   ребенком   до   1,5   лет 	Как получить пособие по уходу за ребенком до 1,5 лет Однако усыновители признаются родственниками усыновленного ребенка по происхождению. То есть юридически они считаются отцом и ... СК. А мать или отец вправе получать пособие по уходу за ребенком до 1,5 лет ...
отчетность по транспортному налогу за 2023 год	17	Как рассчитать  транспортный   налог по  дорогим  автомобилям 	Как рассчитать транспортный налог по дорогим автомобилям Как рассчитать транспортный налог по дорогостоящему легковому автомобилю за 2023 год 	0.8469634652137756	1	Состав и сроки сдачи  налоговой   отчетности  ИП  за   2023   год 	Состав и сроки сдачи налоговой отчетности ИП за 2023 год Форма и Порядок заполнения утверждены приказом ФНС от 29.09.2022 № ЕД-7-11/878 (применяется начиная с отчетности за январь 2023 года ). Отчет заменяет форму СЗВ-М и подается в налоговые органы для дальнейшей...
отчетность по транспортному налогу за 2023 год	6	Как организации рассчитать  транспортный   налог 	Как организации рассчитать транспортный налог ...включают все налоговые периоды начиная с 1 января 2017 года и до окончания периода, за ... При определении количества лет, прошедших с года выпуска автомобиля , для расчета транспортного налога за 2023 ...	0.825452446937561	2	Календарь бухгалтера на  2023   год . Сроки сдачи  отчетности  и уплаты  налогов 	Календарь бухгалтера на 2023 год . Сроки сдачи отчетности и уплаты налогов Подать сообщение о наличии объектов недвижимого имущества и транспортных средств , признаваемых объектами налогообложения в 2021 году *
отчетность по транспортному налогу за 2023 год	26	Как отразить  транспортный   налог  в бухучете и при  налогообложении 	Как отразить транспортный налог в бухучете и при налогообложении Если организация использует метод начисления , сумму транспортного налога (авансовых платежей) включите в состав расходов в момент начисления — в последний день отчетного (налогового) периода ( подп. 1 п. 7...	0.8150131702423096	3	Как организации платить  транспортный   налог  в 2024  году 	Как организации платить транспортный налог в 2024 году Налоговый период по транспортному налогу — календарный год . Отчетными периодами признаются I, II и III кварталы (п. 1—2 ст. 360 НК). Региональные власти вправе:
сведения о характере и условиях трудовой деятельности	24	Как составить Правила  внутреннего  трудового распорядка	Как составить Правила внутреннего трудового распорядка Режим рабочего времени пропишите в зависимости от характера производства, особенностей трудового процесса, нормы рабочего времени, условий деятельности и иных факторов.	0.7240707278251648	1	Как оформить и учесть компенсацию расходов при разъездном  характере   работы 	Как оформить и учесть компенсацию расходов при разъездном характере работы Сведения о разъездном характере работы – обязательное условие трудового договора ( абз. 8 ч. 2 ст. 57 ТК ). Скачайте образец трудового договора с разъездным характером работы.
сведения о характере и условиях трудовой деятельности	3	Кому и как установить разъездной  характер   работы 	Кому и как установить разъездной характер работы Сведения о разъездном характере работы – обязательное условие трудового договора ( абз. 8 ч. 2 ст. 57 ТК ). Скачайте образец трудового договора с разъездным характером работы.	0.6955434679985046	2	Как рассчитать зарплату сотрудника, не  выполнившего  свои  трудовые   обязанности 	Как рассчитать зарплату сотрудника, не выполнившего свои трудовые обязанности Если нормы выработки или должностные обязанности не выполнены по вине администрации, зарплату сотруднику начисляйте за фактически отработанное время или фактически сделанную работу . При этом начисленная сумма не должна быть ниже...
сведения о характере и условиях трудовой деятельности	21	Как разместить  информацию  на сайте организации по результатам специальной оценки  условий   труда 	Как разместить информацию на сайте организации по результатам специальной оценки условий труда установленные классы (подклассы) условий труда на рабочих местах;	0.6844443082809448	3	Кому и как установить разъездной  характер   работы 	Кому и как установить разъездной характер работы Сведения о разъездном характере работы – обязательное условие трудового договора ( абз. 8 ч. 2 ст. 57 ТК ). Скачайте образец трудового договора с разъездным характером работы.
натуральный доход нужно добавлять в себестоимость в форме 2	5	Как на УСН определить  доходы ,  доходы  в валюте или в  натуральной   форме 	Как на УСН определить доходы , доходы в валюте или в натуральной форме Все доходы на упрощенке учитывают в денежном эквиваленте (п. 1 , 2 ст. 346.18 НК). Доход в натуральной форме оцените по рыночному уровню ( п. 4 ст. 346.18 НК ).	0.7606087327003479	1	Как рассчитать и платить НДФЛ с  дохода  в  натуральной   форме 	Как рассчитать и платить НДФЛ с дохода в натуральной форме ...оплачивает сотруднику часть стоимости покупки, поэтому сумма скидки — это доход сотрудника в натуральной форме . ... сниженной ценой. С дохода удержите НДФЛ. Это следует из пункта 1 статьи 210, подпункта 2 ...
натуральный доход нужно добавлять в себестоимость в форме 2	11	Как отразить в 6-НДФЛ  доход  в  натуральной   форме 	Как отразить в 6-НДФЛ доход в натуральной форме Доход в натуральной форме включите в раздел 2 расчета 6-НДФЛ в периоде, когда организация передала физлицу или оплатила вместо него товары, работы, услуги ( подп. 2 п. 1 ст. 223...	0.7507359981536865	2	Как сформировать  себестоимость  готовой продукции, работ или услуг	Как сформировать себестоимость готовой продукции, работ или услуг При массовом и серийном производстве компания вправе оценивать готовую продукцию, работы или услуги любым из ... способов: по фактической себестоимости , по прямым затратам, по плановым (нормативным) затратам. Обычно отдают предпочтение последним...
натуральный доход нужно добавлять в себестоимость в форме 2	30	Как ИП на ОСНО платить НДФЛ с доходов в  натуральной   форме 	Как ИП на ОСНО платить НДФЛ с доходов в натуральной форме При получении дохода в натуральной форме в виде товаров (работ, услуг) определите его размер как ... акцизов. Из суммы дохода исключается частичная оплата товаров (работ, услуг), полученных предпринимателем ( абз. 2 ...	0.7139594554901123	3	Как выдать зарплату в  натуральной   форме 	Как выдать зарплату в натуральной форме Заявление можно составить как на отдельную выплату, так и на определенный период (квартал, год). В ... случае по согласованию с администрацией сотрудник вправе досрочно отказаться от натуральной формы оплаты труда. Об...
решение или протокол о распределении доли общества	8	Как внести изменения в ЕГРЮЛ при  распределении  или продаже  долей   общества 	Как внести изменения в ЕГРЮЛ при распределении или продаже долей общества Общество распределяет долю между участниками	0.8264099359512329	1	Как заполнить заявление по форме № Р 13014 при  распределении   долей   общества  между участниками 	Как заполнить заявление по форме № Р 13014 при распределении долей общества между участниками решение или протокол о распределении доли общества ;
решение или протокол о распределении доли общества	1	Как заполнить заявление по форме № Р 13014 при  распределении   долей   общества  между участниками 	Как заполнить заявление по форме № Р 13014 при распределении долей общества между участниками решение или протокол о распределении доли общества ;	0.7416174411773682	2	Как заполнить заявление по форме № Р 13014 при  распределении   долей   общества  между участниками-гражданами	Как заполнить заявление по форме № Р 13014 при распределении долей общества между участниками-гражданами решение или протокол о распределении доли общества ;
решение или протокол о распределении доли общества	2	Как заполнить заявление по форме № Р 13014 при  распределении   долей   общества  между участниками-гражданами	Как заполнить заявление по форме № Р 13014 при распределении долей общества между участниками-гражданами решение или протокол о распределении доли общества ;	0.7301905155181885	3	Как заполнить заявление по форме № Р 13014 при  распределении   доли   общества  единственному участнику &#8212; гражданину	Как заполнить заявление по форме № Р 13014 при распределении доли общества единственному участнику &#8212; гражданину решение или протокол о распределении доли общества ;
как начислить амортизацию по ос полученному на праве хозяйственного ведения	22	Как для УСН  начислить   амортизацию  машины	Как для УСН начислить амортизацию машины Независимо от выбранного объекта налогообложения организации, применяющие упрощенку, обязаны вести бухучет в полном объеме, в ... , 5 Закона от 06.12.2011 № 402-ФЗ). Следовательно, в бухучете они обязаны начислять амортизацию по ...	0.8017348051071167	1	Как в бухучете  начислить   амортизацию   основных средств   по  ФСБУ	Как в бухучете начислить амортизацию основных средств по ФСБУ Дебет 20 (08, 23, 25, 44, 91...) Кредит 02 — начислена амортизация по безвозмездно полученному основному средству ;
как начислить амортизацию по ос полученному на праве хозяйственного ведения	8	Как составить ведомость  начисления   амортизации   основных средств 	Как составить ведомость начисления амортизации основных средств Ведомость начисления амортизации по основным средствам 	0.7881231307983398	2	Как некоммерческой организации  начислить   амортизацию   по   основным средствам 	Как некоммерческой организации начислить амортизацию по основным средствам Новые ОС . По основным средствам, которые приобрели и ввели в эксплуатацию уже после перехода на ... 6/2020, амортизацию начисляйте в общем порядке. Конкретные проводки зависят от того, увязан ли счет 86...
как начислить амортизацию по ос полученному на праве хозяйственного ведения	24	Схема действий: как  начислить   амортизацию   основных средств  в бухучете	Схема действий: как начислить амортизацию основных средств в бухучете Убедитесь, что амортизацию начислять нужно	0.756324291229248	3	Как  начислить   амортизацию   по  автомобилю	Как начислить амортизацию по автомобилю Таким образом, начиная с 1 января 2009 года амортизацию по названным основным средствам нужно начислять ... основным нормам независимо от того, когда они были введены в эксплуатацию. При этом организация вправе ...
книга доходов усн доходы за 2023 год раздел 4	5	Как в  книге   учета   доходов  и  расходов  на  УСН  заполнить справку к  разделу  I	Как в книге учета доходов и расходов на УСН заполнить справку к разделу I по строке 010 – сумма полученных доходов за год . Ее можно посмотреть в строке Итого за год графы 4 раздела I книги учета доходов и расходов ;	0.7281625270843506	1	Как вести  книгу   учета   доходов  и  расходов  на  УСН 	Как вести книгу учета доходов и расходов на УСН Форма и порядок заполнения книги учета доходов и расходов на УСН утверждены приказом ФНС от ... № ЕА-7-3/816@ . Такую книгу учета заполняют организации и предприниматели. При объекте «доходы» и «доходы...
