Query	search_rank	reader_doc_name	reader_text	reader_score	id	doc_name	searching_text
книга доходов усн доходы за 2023 год раздел 4	15	Утвердили новые формы  книг   учета   доходов  и  расходов  на  УСН , ЕСХН и ПСН с 2024  года 	Утвердили новые формы книг учета доходов и расходов на УСН , ЕСХН и ПСН с 2024 года С 2024 года организации и ИП должны вести книгу учета доходов и расходов по УСН ... приказом ФНС от 07.11.2023 № ЕА-7-3/816@ . Основное изменение в том, что убрали раздел IV ...	0.7095971703529358	2	Какие  разделы  заполнять в  книге   учета   доходов  и  расходов  при  УСН 	Какие разделы заполнять в книге учета доходов и расходов при УСН На упрощенке с объектом доходы заполняйте в книге учета раздел I и раздел IV . Налогоплательщики с объектом доходы минус расходы заполняют в книге учета разделы I , II и...
книга доходов усн доходы за 2023 год раздел 4	8	Как заполнить  раздел  I в  книге   учета   доходов  и  расходов  при  УСН  &#171;доходы&#187;	Как заполнить раздел I в книге учета доходов и расходов при УСН &#171;доходы&#187; При объекте доходы итоговые суммы из графы 4 книги учета перенесите в раздел 2.1.1 декларацию при УСН (строки 110–113).	0.708113431930542	3	Как внести изменения в  книгу   учета   доходов  и  расходов  при  упрощенке 	Как внести изменения в книгу учета доходов и расходов при упрощенке ...которая повлекла за собой неполную уплату налога в бюджет, в книгу учета доходов и расходов ... внести исправления. Данные следует уточнять за тот период, в котором была допущена ошибка. Одновременно с...
не подали уведомление ндфл за декабрь 2023	1	Сроки  сдачи  и коды периодов для  уведомлений  по ЕНП в 2024 году	Сроки сдачи и коды периодов для уведомлений по ЕНП в 2024 году За календарный год уведомление по НДФЛ не представляется , так как декларацию 3-НДФЛ подают до срока уплаты налога	0.8111118078231812	1	Сроки  сдачи  и коды периодов для  уведомлений  по ЕНП в 2024 году	Сроки сдачи и коды периодов для уведомлений по ЕНП в 2024 году За календарный год уведомление по НДФЛ не представляется , так как декларацию 3-НДФЛ подают до срока уплаты налога
не подали уведомление ндфл за декабрь 2023	14	Календарь бухгалтера на  2023  год. Сроки  сдачи  отчетности и уплаты налогов	Календарь бухгалтера на 2023 год. Сроки сдачи отчетности и уплаты налогов Сдать уведомление об НДФЛ , удержанном 30 декабря 2022 года	0.7995413541793823	2	Как составить и  сдать   уведомление  по ЕНП в 2024 году	Как составить и сдать уведомление по ЕНП в 2024 году Уведомление по НДФЛ , который перечисляют налоговые агенты, надо подать дважды: не позднее 25-го числа текущего ... уведомление по НДФЛ , которое подавали в 2023 году 12-го числа, с 2024 года не ...
не подали уведомление ндфл за декабрь 2023	5	Нужно ли  сдавать  промежуточное  уведомление  по  НДФЛ 	Нужно ли сдавать промежуточное уведомление по НДФЛ ...года промежуточные необязательные уведомления по сроку 12-го числа не подают . Они применялись до конца 2023 ... года налоговые агенты подают два обязательных уведомления по НДФЛ (в январе — одно, в декабре ...	0.7988693118095398	3	Изменения  по НДФЛ 	Изменения по НДФЛ Уведомление с ошибками будут считать непредставленным . Уведомление признают не представленным полностью или частично, если налоговые ... за днем получения соответствующего уведомления. Частично не представленным уведомлением будут считать ситуацию, когда уведомление подано ...
срок оплаты земельного налога за 2023 год	4	 Срок   уплаты   земельного   налога  и авансовых платежей по нему	 Срок уплаты земельного налога и авансовых платежей по нему Налог за 2023 год заплатите не позднее 28 февраля 2024 года, за 2024 год — не позднее 28 февраля 2025 года ( абз. 2 п. 1 ст. 397 НК ).	0.8998470306396484	1	Как организации  заплатить   земельный   налог  в бюджет в 2024  году 	Как организации заплатить земельный налог в бюджет в 2024 году Налог за 2023 год заплатите не позднее 28 февраля 2024 года, за 2024 год — не позднее 28 февраля 2025 года ( абз. 2 п. 1 ст. 397 НК ).
срок оплаты земельного налога за 2023 год	5	Как организации рассчитать  земельный   налог 	Как организации рассчитать земельный налог При расчете земельного налога за 2023 год и авансовых платежей за отчетные периоды 2023 года надо учитывайте следующее правило. Если кадастровая стоимость на 1 января 2023 года больше кадастровой стоимости,...	0.8780863285064697	2	Календарь бухгалтера на  2023   год .  Сроки  сдачи отчетности и  уплаты   налогов 	Календарь бухгалтера на 2023 год . Сроки сдачи отчетности и уплаты налогов В справочнике — основные отчеты и платежи в СФР и налоговую инспекцию на 2023 год . Выбирайте дату в календаре, чтобы посмотреть, какие отчеты и платежи попадают на этот день. Полный перечень отчетности – в Профессиональном календаре бухгалтера. Чтобы получить перечень форм статистической отчетности для вашей организации или ИП, воспользуйтесь сервисом.
срок оплаты земельного налога за 2023 год	23	Как организации определить  налоговую  базу по  земельному   налогу 	Как организации определить налоговую базу по земельному налогу При расчете земельного налога за 2023 год и авансовых платежей за отчетные периоды 2023 года надо учитывайте следующее правило. Если кадастровая стоимость на 1 января 2023 года больше кадастровой стоимости,...	0.8675310611724854	3	Как предпринимателю  заплатить   земельный   налог  и надо ли сдавать декларацию	Как предпринимателю заплатить земельный налог и надо ли сдавать декларацию ...и не пользовались льготой, надо сообщить о таких участках налоговикам. С 1 апреля 2023 года ... ФНС от 23.12.2022 № ЕД-7-21/1250@ . Срок подачи — до 31 декабря года, следующего за ...
Задания обеспечивающие уверенность в отношении отчетности о выбросах парниковых газов	11	Как сдают  отчет о   выбросах  и поглощении  парниковых   газов 	Как сдают отчет о выбросах и поглощении парниковых газов Отчет сдают, чтобы уведомить об объемах выбросов парниковых газов в окружающую среду. Правила представления отчетов утвердили постановлением Правительства от 20.04.2022 № 707 .	0.822497546672821	1	Кто платит за  негативное   воздействие  на  окружающую   среду 	Кто платит за негативное воздействие на окружающую среду За атмосферные выбросы передвижными объектами плату не перечисляют (письма Минприроды от 23.07.2015 № 02-12-44/17039 , ... транспортные средства, а стационарных источников загрязнений нет, освобождены от платы за негативное воздействие на окружающую ...
Задания обеспечивающие уверенность в отношении отчетности о выбросах парниковых газов	1	Кто платит за  негативное   воздействие  на  окружающую   среду 	Кто платит за негативное воздействие на окружающую среду За атмосферные выбросы передвижными объектами плату не перечисляют (письма Минприроды от 23.07.2015 № 02-12-44/17039 , ... транспортные средства, а стационарных источников загрязнений нет, освобождены от платы за негативное воздействие на окружающую ...	0.716769278049469	2	Как рассчитать плату за  негативное   воздействие  на  окружающую   среду 	Как рассчитать плату за негативное воздействие на окружающую среду ... газовая котельная в Москве (объект II категории). «Альфа» платит за негативное воздействие на окружающую среду ... выбросы оксида азота и серы. Организация указала в декларации о воздействии на окружающую среду выбросы...
Задания обеспечивающие уверенность в отношении отчетности о выбросах парниковых газов	27	Нужно ли прикреплять к декларации о плате за  НВОС  скан  отчета  ПЭК	Нужно ли прикреплять к декларации о плате за НВОС скан отчета ПЭК документы подтверждающие расходы на финансирование мероприятий по снижению негативного воздействия на окружающую среду ;	0.7103179693222046	3	Как перечислить плату за  негативное   воздействие  на  окружающую   среду 	Как перечислить плату за негативное воздействие на окружающую среду На основании выданной доверенности обособленное подразделение может перечислять в бюджет плату за загрязнение окружающей среды по местонахождению каждого стационарного объекта негативного воздействия .
перевести лицензии с 97 счета на 04	4	Справочник бухгалтерских проводок и  счетов 	"Справочник бухгалтерских проводок и счетов ...03 ""Доходные вложения в материальные ценности"", 04 ""Нематериальные активы"" и др. На субсчете 08-6 "" Перевод ... животных в основное стадо"" учитываются затраты по выращиванию в организации молодняка продуктивного и рабочего скота,..."	0.7528463006019592	1	Учет по  счету   97   Расходы будущих периодов 	Учет по счету 97 Расходы будущих периодов Счет 97 Расходы будущих периодов предназначен для обобщения информации о расходах, произведенных в данном отчетном периоде, но относящихся к будущим отчетным периодам. В частности, на этом счете могут быть отражены...
перевести лицензии с 97 счета на 04	25	 Лицензия  в расходах будущих периодов	 Лицензия в расходах будущих периодов Организации получают лицензии для того, чтобы на законных основаниях вести предпринимательскую деятельность. Как правило, лицензии выдаются на неограниченный срок ( ч. 4 ст. 9 Закона от 04.05.2011 № 99-ФЗ ).	0.6756568551063538	2	Как лицензиату учесть расходы на  лицензию 	Как лицензиату учесть расходы на лицензию План счетов не предусматривает отдельного забалансового счета для учета нематериальных активов. Поэтому его нужно открыть ... «Стоимость активов, не признаваемых нематериальными». На счете 012 можно организовать аналитический учет по каждой лицензии ...
перевести лицензии с 97 счета на 04	10	Как оформить  лицензию  на обращение с отходами	Как оформить лицензию на обращение с отходами Для обращения с отходами I– IV классов опасности организациям нужна лицензия , которую выдает Росприроднадзор.	0.6646698117256165	3	Как перейти на учет НМА по ФСБУ 14/2022	Как перейти на учет НМА по ФСБУ 14/2022 Расходы на объекты, которые компания ранее учитывала на счете 97 , и которые с 2024 года соответствуют признакам НМА и лимиту стоимости НМА из учетной политики, переведите на счет 04 ...
постановление федерального арбитражного суда центрального округа от 10.04.2006 № а48-6436/05-8	2	Размеры госпошлины по делам, рассматриваемым в  арбитражных   судах 	Размеры госпошлины по делам, рассматриваемым в арбитражных судах подп. 10 п. 1 ст. 333.21	0.7894447445869446	1	Как заполнить путевой лист	Как заполнить путевой лист Таким образом, если работник не использует личный автомобиль для перевозок пассажиров и грузов для нужд организации, оформлять путевые листы не требуется ( постановление ФАС Центрального округа от 10.04.2006 № А48-6436/05-8 ...
постановление федерального арбитражного суда центрального округа от 10.04.2006 № а48-6436/05-8	24	Как получить отсрочку по уплате госпошлины при обращении в  суд 	Как получить отсрочку по уплате госпошлины при обращении в суд Некоторые суды , когда принимают решение об отсрочке, не требуют доказать наличие неоплаченной картотеки. Иногда арбитры ... Смотрите, например, постановления ФАС Волго-Вятского округа от 28.04.2006 № А17-1638/5/2005 , Северо-Западного округа от 10.04.2006 ...	0.784980058670044	2	Размеры госпошлины по делам, рассматриваемым в  арбитражных   судах 	Размеры госпошлины по делам, рассматриваемым в арбитражных судах подп. 10 п. 1 ст. 333.21
постановление федерального арбитражного суда центрального округа от 10.04.2006 № а48-6436/05-8	18	Как получить освобождение  от  уплаты НДС	Как получить освобождение от уплаты НДС Чтобы получить освобождение от уплаты НДС, организация или ИП должны подать в инспекцию комплект документов, ... не превышала ограничение. Арбитражная практика подтверждает такой вывод (см., например, постановление Арбитражного суда Центрального округа ...	0.7425162196159363	3	В каких случаях нужно соблюдать досудебный порядок в  арбитражном  процессе	В каких случаях нужно соблюдать досудебный порядок в арбитражном процессе Компания взыскивала долг за поставку горячей воды и неустойку. Ответчик в числе прочих доводов ссылался ... досудебный порядок соблюден и по требованию о неустойке ( постановление Арбитражного суда Поволжского округа от ...
какие периоды доходов в 3 квартале 6-ндфл	5	Как проверить  6-НДФЛ  и справки о  доходах  (замена 2-НДФЛ)	Как проверить 6-НДФЛ и справки о доходах (замена 2-НДФЛ) 3 – для 6-НДФЛ за первый квартал , полугодие, девять месяцев	0.8240091800689697	1	Как заполнить и сдать  расчет 6-НДФЛ 	Как заполнить и сдать расчет 6-НДФЛ В разделе 1 расчета 6-НДФЛ больше не нужно указывать срок уплаты НДФЛ. С 2023 года ... отпускных. В полях 021–024 раздела 1 указывайте суммы НДФЛ к уплате по первому, второму, третьему ...
какие периоды доходов в 3 квартале 6-ндфл	3	Как уточнить справку о  доходах  к  6-НДФЛ  (замена 2-НДФЛ)	Как уточнить справку о доходах к 6-НДФЛ (замена 2-НДФЛ) Как скорректировать справку о доходах к 6-НДФЛ за отчетные периоды 2023 года – в рекомендации ниже	0.7697672843933105	2	Как отразить в  6-НДФЛ  переходящий отпуск	Как отразить в 6-НДФЛ переходящий отпуск Переходящие отпускные отражайте в 6-НДФЛ в общем порядке . Доход у сотрудника возникает в момент выплаты отпускных. Поэтому не имеет значения, если выплата отпускных и сам отпуск пришлись на разные...
какие периоды доходов в 3 квартале 6-ндфл	4	Как отразить в  6-НДФЛ  выплаты за декабрь 2023 года	Как отразить в 6-НДФЛ выплаты за декабрь 2023 года ...года, квартальные , годовые, непроизводственные и любые другие премии отразите в 6-НДФЛ и справке о доходах ... 2-НДФЛ) в зависимости от того, в каком периоде их выплатили и удержали НДФЛ. Доход у...	0.7398785948753357	3	Как уточнить справку о  доходах  к  6-НДФЛ  (замена 2-НДФЛ)	Как уточнить справку о доходах к 6-НДФЛ (замена 2-НДФЛ) Как скорректировать справку о доходах к 6-НДФЛ за отчетные периоды 2023 года – в рекомендации ниже
как организации купить и перепродать маркированные шины начислить ндс	14	Как оформить и учесть продажу  шин 	Как оформить и учесть продажу шин Если организация — плательщик НДС , то начислите налог на реализацию шин :	0.8266028761863708	1	Как оформить и учесть списание  автомобильных   шин 	Как оформить и учесть списание автомобильных шин Автотранспортные организации , согласно инструкции, в расходах по обычным видам деятельности учитывают шины с учетом норм, утвержденных Минтрансом. Сверхнормативные расходы учитывают как прочие (п. 42 , 43 , 97 Инструкции, п.
как организации купить и перепродать маркированные шины начислить ндс	24	Как вести карточку учета  шин 	Как вести карточку учета шин До 1 января 2008 года организации могли использовать бланк карточки учета работы шин , утвержденной ... самостоятельно разработать форму документа, в котором она отразит поступление, передачу в эксплуатацию и замену автомобильных ...	0.7223104238510132	2	Как учесть  шины 	Как учесть шины Учет шин для целей налога на прибыль зависит от того, как поступают шины в организацию : в комплекте с автомобилем или отдельно от него. Шины, приобретенные вместе с автомобилем, включаются в...
как организации купить и перепродать маркированные шины начислить ндс	7	Как учесть замену  шин 	Как учесть замену шин Дебет 19 Кредит 60 — 590 руб. — отражен НДС по приобретенной автомобильной шине ;	0.7104058265686035	3	Как проводят  маркировку   шин  и  покрышек 	Как проводят маркировку шин и покрышек С 1 марта 2021 года все участники оборота обязаны передавать сведения в отношении всех действий по обороту шин в систему маркировки . Правила маркировки утверждены постановлением Правительства от 31.12.2019 № 1958...
образец письма об отсутствии обязанности сдавать 6-ндфл в 2024 году	11	НДФЛ в  2024   году 	НДФЛ в 2024 году ...расчета 6-НДФЛ приказом от 19.09.2023 № ЕД-7-11/649@ . Она действует с 1 января 2024 года ... обновлению . До утверждения изменений в принятом бланке надо применять рекомендуемую ФНС форму из письма ...	0.8238357901573181	1	Как заполнить и  сдать   расчет 6-НДФЛ 	Как заполнить и сдать расчет 6-НДФЛ Расчет 6-НДФЛ за 2023 год составляйте по форме, утвержденной приказом ФНС от 15.10.2020 № ЕД-7-11/753@ ... С отчетности за I квартал 2024 года применяйте новую форму расчета , которая утверждена приказом...
образец письма об отсутствии обязанности сдавать 6-ндфл в 2024 году	27	Состав и сроки  сдачи  налоговой отчетности ИП за  2024   год 	Состав и сроки сдачи налоговой отчетности ИП за 2024 год ... письме от 04.12.2023 № БС-4-11/15166@ . Применяйте ее с отчетности за I квартал 2024 года ... форму расчета , которая утверждена приказом от 19.09.2023 № ЕД-7-11/649@ , обновляют . Расчет подают ...	0.802414059638977	2	Как составить и  сдать  уведомление по ЕНП в  2024   году 	Как составить и сдать уведомление по ЕНП в 2024 году В 2024 году организация применяет упрощенку, в течение года платит авансовые платежи по налогу при ... срок уплаты налогов и взносов наступает раньше, чем срок подачи отчетности, нужно подавать уведомления о ...
образец письма об отсутствии обязанности сдавать 6-ндфл в 2024 году	23	Ввели рекомендуемую  форму 6-НДФЛ  с отчетности за I квартал  2024   года 	Ввели рекомендуемую форму 6-НДФЛ с отчетности за I квартал 2024 года ФНС привела рекомендуемую форму 6-НДФЛ в письме от 04.12.2023 № БС-4-11/15166@ . Она действует с отчетности за I квартал 2024 года до 9 апреля 2024 года. С 9 апреля 2024...	0.7783241868019104	3	Как составить и  сдать  справку о доходах к  6-НДФЛ  (замена 2-НДФЛ)	Как составить и сдать справку о доходах к 6-НДФЛ (замена 2-НДФЛ) Расчет 6-НДФЛ за 2023 год , в том числе справки о доходах, составляйте по форме, утвержденной ... ФНС от 15.10.2020 № ЕД-7-11/753@ . С отчетности за I квартал 2024 года применяйте новую...
постановлением правительства от 25.04.2012 № 390 актуальность в 2023 году	27	Обзор изменений в законодательстве Херсонской области за ноябрь  2023   года 	Обзор изменений в законодательстве Херсонской области за ноябрь 2023 года Постановление правительства Херсонской области от 16.11.2023 № 75-пп	0.8702709674835205	1	Справочник « Годовой  отчет —  2023 »	Справочник « Годовой отчет — 2023 » Сроки сдачи: 25 марта 2024 года — для организаций, 25 апреля 2024 года — для ИП.
постановлением правительства от 25.04.2012 № 390 актуальность в 2023 году	1	Справочник « Годовой  отчет —  2023 »	Справочник « Годовой отчет — 2023 » Сроки сдачи: 25 марта 2024 года — для организаций, 25 апреля 2024 года — для ИП.	0.8298176527023315	2	Что меняется в работе бухгалтера в  2023   году 	Что меняется в работе бухгалтера в 2023 году ...по налогу на прибыль исходя из фактически полученной прибыли . Такой порядок действуют независимо от ... из прибыли предыдущего квартала начиная с любого квартала 2023 года , то есть с 1 апреля ,...
постановлением правительства от 25.04.2012 № 390 актуальность в 2023 году	29	Изменения по НДФЛ с  2023   года 	Изменения по НДФЛ с 2023 года 25 апреля 	0.7916840314865112	3	Ставки НДС в  2023   году 	Ставки НДС в 2023 году ...индустрии, которые введены в эксплуатацию (в том числе после реконструкции) после 1 января 2022 года ... котором соответствующий объект туристской индустрии введен в эксплуатацию. Правила ведения реестра утверждены постановлением Правительства от ...
пп. 3 п. 1 ст. 254 нк рф	15	Имеет ли  статья  54.1  НК  обратную силу	Имеет ли статья 54.1 НК обратную силу Нет, статья 54.1 НК не имеет обратной силы.	0.61138516664505	1	Как подтвердить реальность расходов и вычетов по  статье  54.1  НК 	Как подтвердить реальность расходов и вычетов по статье 54.1 НК исказили сведения о фактах хозяйственной жизни или об объектах налогообложения, которые отражаете в бухучете, налоговом учете или налоговой отчетности ( п. 1 ст . 54.1 НК );
пп. 3 п. 1 ст. 254 нк рф	17	Как проверить контрагента и подтвердить коммерческую (должную) осмотрительность по  статье  54.1  НК 	Как проверить контрагента и подтвердить коммерческую (должную) осмотрительность по статье 54.1 НК Проверяющие откажут в вычетах по НДС и расходах в полном объеме, только если докажут, что ... ( п. 20–21 письма ФНС от 10.03.2021 № БВ-4-7/3060 ). При этом закреплять в НК ...	0.5893349647521973	2	Какой будет штраф при применении  статьи  54.1  НК 	Какой будет штраф при применении статьи 54.1 НК 20 процентов от неуплаченной суммы налога, если инспекторы не докажут умысел ( п. 1 ст . 122 НК );
пп. 3 п. 1 ст. 254 нк рф	11	Как рассчитать и платить НДС по  статье  162.3  НК  с межценовой разницы	Как рассчитать и платить НДС по статье 162.3 НК с межценовой разницы НДС при отгрузке товаров, указанных в статье 162.3 НК , исчисляйте с межценовой разницы по ставкам ... 20 или 0 процентов в зависимости от того, что и куда реализуете ( п. 1 – 3 ...	0.5387502312660217	3	Как ИФНС проводит проверки по  статье  54.1  НК 	Как ИФНС проводит проверки по статье 54.1 НК исказили сведения о фактах хозяйственной жизни или об объектах налогообложения, которые отражаете в бухучете, налоговом учете или налоговой отчетности ( п. 1 ст . 54.1 НК );
как рассчитать месячный заработок при ликвидации декретницы	7	Как  рассчитывают  пособие по уходу за ребенком до 1,5 лет исходя из среднего  заработка 	Как рассчитывают пособие по уходу за ребенком до 1,5 лет исходя из среднего заработка Затем при необходимости рассчитают сумму пособия за неполный месяц ( ст. 15 Закона от 19.05.1995 № 81-ФЗ ). Средний заработок за календарный месяц рассчитают исходя из среднего количества календарных дней...	0.7734197974205017	1	Кому положено пособие по беременности и родам	Кому положено пособие по беременности и родам Чтобы не терять пособие, сотрудница написала заявление о предоставлении ей декретного отпуска с 16 января. ... пособие за 140 дней отпуска по беременности и родам , а также вознаграждение в размере месячного ...
как рассчитать месячный заработок при ликвидации декретницы	12	Как определить  заработок  для  расчета  отпускных	Как определить заработок для расчета отпускных В августе сотруднику предоставили ежегодный оплачиваемый отпуск. Месяц , в котором была зарплата в натуральной форме, попал в расчетный период.	0.7691419720649719	2	Как считать  средний  заработок	Как считать средний заработок Итоговую сумму пособия определяют в процентах от среднего заработка за дни нетрудоспособности, отпуска по беременности и родам или отпуска по уходу за ребенком . Алгоритм и примеры расчета пособий есть в...
как рассчитать месячный заработок при ликвидации декретницы	22	Как определить средний  дневной  заработок для  расчета  отпускных	Как определить средний дневной заработок для расчета отпускных Кондратьев получает только оклад . За расчетный период сотруднику было начислено 240 000 руб. (20 000 руб. × 12 мес .).	0.7620974779129028	3	Как получить пособие по беременности и родам	Как получить пособие по беременности и родам Так, женщина, у которой страховой стаж менее шести месяцев , вправе получить пособие по беременности и родам в размере среднего заработка, но не более МРОТ за полный календарный месяц с учетом...
бухучет по внесению собственных средств предпринимателя на расчетный счет	10	Может ли  предприниматель   внести  на  расчетный   счет  наличные деньги	Может ли предприниматель внести на расчетный счет наличные деньги Индивидуальный предприниматель может внести личные средства на расчетный счет для использования их в предпринимательских целях. ... деятельности можно вести только с расчетного счета ИП. Если ИП будет использовать личный счет, банк ...	0.8511200547218323	1	Как  внести  деньги на  расчетный   счет 	Как внести деньги на расчетный счет На расчетный счет предпринимателя выручку может вносить как сам предприниматель, так и его представитель по доверенности. При этом банковскими правилами предусматривается, что доверенность должна быть оформлена нотариально. Собственные средства на...
бухучет по внесению собственных средств предпринимателя на расчетный счет	5	Как произвести,  отразить в бухучете  и при налогообложении поступление денежных средств на  расчетный   счет 	Как произвести, отразить в бухучете и при налогообложении поступление денежных средств на расчетный счет Если у вас открыто несколько расчетных счетов в различных банках , организуйте аналитический учет средств на ... в банке 1» и субсчет «Расчетный счет в банке 2». Перевод денег между своими собственными ...	0.7840569019317627	2	Гид по  проводкам : учет кассовых операций и операции по  расчетному   счету  в примерах и  проводках 	Гид по проводкам : учет кассовых операций и операции по расчетному счету в примерах и проводках ...денег на валютный счет организации. Если курс валюты не установлен, пересчет сделайте по кросс-курсу, рассчитанному ... из курса валют, установленного ЦБ. При этом записи в регистрах бухгалтерского учета проведите как в...
бухучет по внесению собственных средств предпринимателя на расчетный счет	1	Как  внести  деньги на  расчетный   счет 	Как внести деньги на расчетный счет На расчетный счет предпринимателя выручку может вносить как сам предприниматель, так и его представитель по доверенности. При этом банковскими правилами предусматривается, что доверенность должна быть оформлена нотариально. Собственные средства на...	0.782992959022522	3	Как отразить в учете списание  средств  с  расчетного   счета 	Как отразить в учете списание средств с расчетного счета Независимо от способа расчетов в бухучете списание средств с расчетного счета отразите на основании выписки банка с приложенными к ней расчетными документами (например, платежными и инкассовыми поручениями, платежными требованиями и...
образец платежного поручения штрафа в налоговую в 2024	16	Основные КБК в  2024  году для  налогов , сборов, взносов и  штрафов 	Основные КБК в 2024 году для налогов , сборов, взносов и штрафов Штрафы за налоговые нарушения по НК, поступающие в счет погашения задолженности, образовавшейся до 1 января 2020 года	0.8973890542984009	1	 Образцы заполнения   платежных   поручений  в  2024  году	 Образцы заполнения платежных поручений в 2024 году Взносы на травматизм в 2024 году перечисляют в Социальный фонд и используют КБК — 79710212000061000160. Полные реквизиты есть на сайтах отделений фонда sfr.gov.ru, в справочнике и образце заполнения платежного поручения ...
образец платежного поручения штрафа в налоговую в 2024	8	Как начислять,  платить , отчитываться по взносам в  2024  году	Как начислять, платить , отчитываться по взносам в 2024 году ОМС и на случай ВНиМ начисляют единой суммой, которую затем уплачивают в составе единого налогового ... 8 , п. 1 , 17 ст. 45, п. 6 ст. 431 НК). Платежное поручение ...	0.8905247449874878	2	Как заполнить поля  платежного   поручения   по налогам , взносам, пеням и  штрафам 	Как заполнить поля платежного поручения по налогам , взносам, пеням и штрафам Для печати плательщика на бумажных платежных поручениях отведено поле 43 . В нем нужно проставить оттиск печати, зафиксированной в банковской карточке с образцами подписей и печати ( приложение 1 к...
образец платежного поручения штрафа в налоговую в 2024	26	Как заполнить  платежное   поручение  по  платежам  не по ЕНП в  2024  году	Как заполнить платежное поручение по платежам не по ЕНП в 2024 году Отдельными платежками, а не единым налоговым платежом с 2024 года перечисляют платежи, которые не входят в состав ЕНП. Перечень таких платежей — в таблице . Платежку оформите по правилам, прописанным...	0.8404567837715149	3	Как  платить  НДС в бюджет в  2024  году	Как платить НДС в бюджет в 2024 году При перечислении НДС, пеней и штрафов на единый налоговый счет (ЕНС) в составе единого платежа (ЕНП) в поле 104 платежки по ЕНП указывайте КБК 18201061201010000510. Этот код подразумевает увеличение финансовых...
кто является плательщиком ндс при продаже металлолома?	6	Как налоговому агенту заполнить декларацию по  НДС  при покупке  металлолома  и другого вторсырья	Как налоговому агенту заполнить декларацию по НДС при покупке металлолома и другого вторсырья как заполнить декларацию по НДС налоговому агенту — покупателю металлолома , который является плательщиком НДС	0.7396941781044006	1	Как заполнить декларацию по  НДС  налоговому агенту  ;  плательщику   НДС  при покупке и  продаже   металлолома 	Как заполнить декларацию по НДС налоговому агенту ; плательщику НДС при покупке и продаже металлолома ООО Альфа — плательщик НДС . Во I квартале ООО Альфа приобрело металлолом у ООО Гермес, которое является плательщиком НДС. Договором предусмотрен аванс.
кто является плательщиком ндс при продаже металлолома?	16	Как составить и сдать декларацию по  НДС 	Как составить и сдать декларацию по НДС Налоговые агенты — плательщики и неплательщики НДС , покупатели металлолома , макулатуры и другого вторсырья.	0.7086701393127441	2	Кто  является  налоговым агентом по  НДС  при реализации  металлолома  и другого вторсырья	Кто является налоговым агентом по НДС при реализации металлолома и другого вторсырья Продавать отходы цветных металлов , которые образовались у организации или предпринимателя в процессе собственного производства, можно ... в пункте 1 Положения о лицензировании деятельности по заготовке, хранению, переработке и реализации лома черных ...
кто является плательщиком ндс при продаже металлолома?	1	Как заполнить декларацию по  НДС  налоговому агенту  ;  плательщику   НДС  при покупке и  продаже   металлолома 	Как заполнить декларацию по НДС налоговому агенту ; плательщику НДС при покупке и продаже металлолома ООО Альфа — плательщик НДС . Во I квартале ООО Альфа приобрело металлолом у ООО Гермес, которое является плательщиком НДС. Договором предусмотрен аванс.	0.7004643678665161	3	Реализация  металлолома , макулатуры и другого вторсырья:  НДС , документы, проводки	Реализация металлолома , макулатуры и другого вторсырья: НДС , документы, проводки Продавать отходы цветных металлов , которые образовались у организации или предпринимателя в процессе собственного производства, можно ... в пункте 1 Положения о лицензировании деятельности по заготовке, хранению, переработке и реализации лома черных ...
